Case_ID,Timestamp,Event,Flammability_Score
46609,2025-11-08 08:15:41.695172862,Fire_Arrival,0.36
47169,2025-11-08 08:15:43.713558708,Fire_Arrival,0.34
32140,2025-11-08 08:15:46.006549320,Destroyed,0.49
44792,2025-11-08 08:15:46.880030214,Fire_Arrival,0.46
44039,2025-11-08 08:15:47.248351830,Fire_Arrival,0.49
43472,2025-11-08 08:15:51.992861748,Fire_Arrival,0.66
45270,2025-11-08 08:15:53.402573244,Fire_Arrival,0.46
44042,2025-11-08 08:15:53.888287014,Fire_Arrival,0.49
44053,2025-11-08 08:15:58.861061052,Fire_Arrival,0.49
44104,2025-11-08 08:16:06.499018248,Ignition,0.46
42930,2025-11-08 08:16:07.545159978,Fire_Arrival,0.34
44041,2025-11-08 08:16:08.378449133,Fire_Arrival,0.49
43478,2025-11-08 08:16:08.386280874,Fire_Arrival,0.66
44791,2025-11-08 08:16:12.044813388,Fire_Arrival,0.46
38249,2025-11-08 08:16:13.676748732,Destroyed,0.19
47824,2025-11-08 08:16:14.094110604,Fire_Arrival,0.44
47826,2025-11-08 08:16:16.295387345,Fire_Arrival,0.86
44228,2025-11-08 08:16:20.351094930,Fire_Arrival,0.49
43479,2025-11-08 08:16:20.686751028,Fire_Arrival,0.49
31581,2025-11-08 08:16:21.363834690,Fire_Arrival,0.49
28765,2025-11-08 08:16:27.186546408,Ignition,0.66
44789,2025-11-08 08:16:29.027408238,Fire_Arrival,0.46
43887,2025-11-08 08:16:34.660236330,Ignition,0.54
53117,2025-11-08 08:16:34.681827072,Ignition,0.5
38705,2025-11-08 08:16:39.815281224,Fire_Arrival,0.34
43488,2025-11-08 08:16:41.002403880,Fire_Arrival,0.46
47818,2025-11-08 08:16:41.737743996,Fire_Arrival,0.44
47823,2025-11-08 08:16:47.213809488,Fire_Arrival,0.34
29634,2025-11-08 08:16:54.052718154,Fire_Arrival,0.46
43549,2025-11-08 08:16:54.499012908,Ignition,0.49
45349,2025-11-08 08:16:55.461699636,Ignition,0.49
44226,2025-11-08 08:16:58.135217034,Fire_Arrival,0.46
44043,2025-11-08 08:17:07.086015528,Fire_Arrival,0.69
44054,2025-11-08 08:17:07.315697844,Fire_Arrival,0.49
44790,2025-11-08 08:17:07.545325998,Fire_Arrival,0.46
53029,2025-11-08 08:17:16.517453135,Fire_Arrival,0.5
43734,2025-11-08 08:17:17.671720488,Fire_Arrival,0.56
46610,2025-11-08 08:17:18.659913180,Fire_Arrival,0.46
